country,year,government_health_expenditure,dpt_immunization,measles_immunization,infant_mortality_rate,malaria_prevalence,maternal_mortality_rate,nurses_midwives_density,physicians_density,tb_prevalence,under_5_mortality_rate,undernourished_population,infant_mortality_rate_risk_scaled,under_5_mortality_rate_risk_scaled,maternal_mortality_rate_risk_scaled,malaria_prevalence_risk_scaled,tb_prevalence_risk_scaled,undernourished_population_risk_scaled,health_risk_score,health_risk_level,government_health_expenditure_readiness_scaled,dpt_immunization_readiness_scaled,measles_immunization_readiness_scaled,nurses_midwives_density_readiness_scaled,physicians_density_readiness_scaled,readiness_score,readiness_level,priority_category,priority_rank
Brunei Darussalam,2014,20.5,99.0,97.0,7.4,34.8,27.0,8.195,1.47,311.0,8.7,5.0,0.0665083135391924,0.06421052631578945,0.057203389830508475,0.042183001627237454,0.06518658478979689,0.0,4.9215302683754105,Low,0.012593984962406015,0.98,0.953125,1.0,0.7501410039481105,73.91719977821033,High,Stable / Resilient,9
Cambodia,2004,0.9,82.0,80.0,76.0,800.0,472.0,0.842,0.244,510.0,83.0,22.1,0.8812351543942993,0.8463157894736841,1.0,1.0,0.11218705715635333,0.4899713467048711,72.16182246215347,High,0.00031328320802005016,0.6400000000000001,0.6875,0.014871382636655953,0.05865764241398759,28.026846165173268,Low,Emergency Priority,1
Cambodia,2005,0.4,82.0,76.9,66.0,600.0,472.0,0.842,0.244,676.0,83.0,20.8,0.7624703087885986,0.8463157894736841,1.0,0.7496557766929528,0.15139348134152103,0.45272206303724927,66.04262365556676,High,0.0,0.6400000000000001,0.6390625000000001,0.014871382636655953,0.05865764241398759,27.051830501012873,Low,Emergency Priority,1
Cambodia,2006,4.3,82.0,78.0,68.0,720.0,418.8,0.842,0.244,664.0,77.2,19.6,0.7862232779097388,0.7852631578947369,0.8872881355932204,0.8998623106771811,0.1485592820028342,0.41833810888252154,65.42557121600389,High,0.0024436090225563906,0.6400000000000001,0.65625,0.014871382636655953,0.05865764241398759,27.444452681464,Low,Emergency Priority,1
Cambodia,2007,133.4,82.0,79.0,70.0,641.75,365.6,0.842,0.244,697.0,71.4,18.3,0.8099762470308789,0.7242105263157895,0.7745762711864407,0.8019151333082989,0.15635333018422296,0.38108882521489973,60.80200555400884,High,0.08333333333333333,0.6400000000000001,0.671875,0.014871382636655953,0.05865764241398759,29.374747167679544,Low,Emergency Priority,1
Cambodia,2008,203.4,82.0,80.0,60.0,563.5,312.4,0.842,0.244,693.0,65.6,17.5,0.6912114014251781,0.6631578947368421,0.661864406779661,0.7039679559394167,0.15540859707132734,0.3581661891117478,53.89627408440288,High,0.12719298245614036,0.6400000000000001,0.6875,0.014871382636655953,0.05865764241398759,30.56444015013568,Low,Emergency Priority,1
Cambodia,2009,169.6,94.0,81.0,60.0,485.25,259.2,0.851,0.237,681.0,59.8,17.1,0.6912114014251781,0.6021052631578947,0.5491525423728814,0.6060207785705345,0.15257439773264053,0.346704871060172,49.129487571988356,High,0.10601503759398495,0.8800000000000001,0.703125,0.016077170418006437,0.054709531866892244,35.19853479757767,Low,Emergency Priority,1
Cambodia,2010,131.9,92.0,81.9,44.9,407.0,206.0,0.853,0.229,125.0,54.0,17.0,0.5118764845605701,0.5410526315789473,0.4364406779661017,0.5080736012016522,0.021256495040151157,0.3438395415472779,39.37565719824501,High,0.08239348370927319,0.8400000000000001,0.7171875000000001,0.016345123258306546,0.05019740552735476,34.1224702498987,Low,Emergency Priority,1
Cambodia,2011,148.1,94.0,93.0,36.0,407.0,194.0,0.87,0.226,817.0,43.0,16.8,0.4061757719714964,0.4252631578947368,0.4110169491525424,0.5080736012016522,0.18469532357109117,0.33810888252148996,37.888894771883486,High,0.09254385964912279,0.8800000000000001,0.890625,0.018622722400857453,0.0485053581500282,38.605938804000175,Low,Emergency Priority,1
Cambodia,2012,26.1,95.0,93.0,33.0,407.0,182.0,0.92,0.165,764.0,40.0,16.4,0.3705463182897862,0.39368421052631575,0.385593220338983,0.5080736012016522,0.17217760982522437,0.32664756446991405,35.9453754108646,High,0.016102756892230577,0.9000000000000001,0.890625,0.02532154340836014,0.014100394811054712,36.92299390223292,Low,Emergency Priority,1
