country,year,government_health_expenditure,dpt_immunization,measles_immunization,infant_mortality_rate,malaria_prevalence,maternal_mortality_rate,nurses_midwives_density,physicians_density,tb_prevalence,under_5_mortality_rate,undernourished_population,underweight_children
Malaysia,1998,,,,,,,,,,,5.0,
Malaysia,1999,,,,,,,,,,,5.0,16.7
Malaysia,2000,362.1,,,,,,1.658,0.689,,,5.0,
Malaysia,2001,445.3,,,,,,,,,,5.0,
Malaysia,2002,432.1,,,,,,1.778,0.697,,,5.0,
Malaysia,2003,740.8,,,,,,,,,,5.0,
Malaysia,2004,613.2,94.2,71.2,6.5,24.1,,,,60.0,,5.0,
Malaysia,2005,335.3,95.3,,6.6,21.0,28.0,,,60.4,8.5,5.0,
Malaysia,2006,372.4,96.4,65.4,6.1,19.7,27.5,,,62.1,7.9,5.0,12.9
Malaysia,2007,448.6,96.0,87.5,6.3,20.1,29.0,,,62.2,7.9,5.0,
Malaysia,2008,520.1,96.0,94.3,6.2,26.8,27.3,2.678,0.923,63.5,8.0,5.0,
Malaysia,2009,782.8,95.0,96.9,6.9,,27.0,,,64.9,8.5,5.0,
Malaysia,2010,1199.9,94.0,96.1,6.8,25.1,26.1,3.208,1.173,68.4,8.5,5.0,
Malaysia,2011,717.3,99.0,95.2,6.6,23.5,26.2,3.397,1.281,101.0,,5.0,
Malaysia,2012,666.0,99.0,95.5,6.6,,25.6,,,101.0,9.0,5.0,
Malaysia,2013,581.1,97.0,95.3,,,29.0,,,,,5.0,
Malaysia,2014,458.9,93.0,94.0,,,,,,,,5.0,
Malaysia,2015,367.2,,,,,,,,,,5.0,
Myanmar,1990,,,,,,,,,,,,32.5
Myanmar,1991,,,,,,,,,,,62.6,37.0
Myanmar,1992,,,,,,,,,,,62.7,
Myanmar,1993,,,,,,,,,,,62.5,
Myanmar,1994,,,,,,,,,,,61.6,31.2
Myanmar,1995,,,,,,,,,,,60.7,38.7
Myanmar,1996,,,,,,,,,,,58.8,
Myanmar,1997,,,,,,,,,,,57.0,28.1
Myanmar,1998,,,,,,,,,,,55.3,
Myanmar,1999,,,,,,,,,,,54.2,
Myanmar,2000,6.9,,,,,,,,,,52.4,30.1
Myanmar,2001,7.2,,,,,,,,,,49.6,
Myanmar,2002,21.8,,,,,,,,,,46.3,
Myanmar,2003,12.9,,,,,,,,,,42.9,29.6
Myanmar,2004,13.7,82.0,78.0,81.0,14.0,,,0.359,,,39.9,
Myanmar,2005,7.8,73.0,72.0,46.5,10.8,250.0,0.731,0.372,647.0,70.8,36.9,
Myanmar,2006,8.8,82.0,78.0,46.3,10.5,,0.77,0.407,,66.2,33.7,
Myanmar,2007,8.1,86.0,81.0,46.5,9.0,,0.791,0.43,,64.3,30.1,
Myanmar,2008,8.9,85.0,82.0,29.5,11.7,,0.812,0.465,564.0,40.7,26.4,
Myanmar,2009,15.1,90.0,87.0,27.2,10.0,,0.843,0.478,544.0,36.5,23.0,22.6
Myanmar,2010,27.8,90.0,88.0,27.1,11.7,233.0,0.874,0.511,525.0,34.9,20.2,
Myanmar,2011,35.2,83.5,84.9,27.0,11.7,,0.901,0.539,506.0,33.9,18.0,
Myanmar,2012,236.4,85.0,84.0,26.0,8.1,,0.93,0.568,489.0,29.6,16.5,
Myanmar,2013,219.4,90.0,86.0,24.3,6.8,200.0,,,473.0,,15.5,
Myanmar,2014,337.4,92.0,88.0,,4.1,,,,457.0,,14.9,
Myanmar,2015,297.5,,,,,,,,,,14.2,
Philippines,1990,,,,,,,,,,,,29.9
Philippines,1991,,,,,,,,,,,26.3,
Philippines,1992,,,,,,,,,,,27.0,29.8
Philippines,1993,,,,,,,,,,,26.4,26.3
Philippines,1994,,,,,,,,,,,26.0,
Philippines,1995,,,,,,,,,,,24.7,
Philippines,1996,,,,,,,,,,,23.7,
Philippines,1997,,,,,,,,,,,22.8,
Philippines,1998,,,,,,,,,,,22.7,28.3
Philippines,1999,,,,,,,,,,,22.2,
Philippines,2000,11.1,,,,,,2.073,0.568,,,21.3,
