country,year,government_health_expenditure,dpt_immunization,measles_immunization,infant_mortality_rate,malaria_prevalence,maternal_mortality_rate,nurses_midwives_density,physicians_density,tb_prevalence,under_5_mortality_rate,undernourished_population,infant_mortality_rate_risk_scaled,under_5_mortality_rate_risk_scaled,maternal_mortality_rate_risk_scaled,malaria_prevalence_risk_scaled,tb_prevalence_risk_scaled,undernourished_population_risk_scaled,health_risk_score,health_risk_level,government_health_expenditure_readiness_scaled,dpt_immunization_readiness_scaled,measles_immunization_readiness_scaled,nurses_midwives_density_readiness_scaled,physicians_density_readiness_scaled,readiness_score,readiness_level,priority_category,priority_rank
Philippines,2013,265.9,98.0,90.0,20.0,9.8,120.0,5.774,1.11,461.0,25.0,14.0,0.21819474058280028,0.23979057591623038,0.2542372881355932,0.01225,0.10798781916139612,0.3508771929824562,19.722293612974603,Medium,0.16130793496724094,0.96,0.84375,0.5898935548017312,0.488262910798122,60.864288011341884,High,Controlled Risk,7
Philippines,2014,294.9,86.0,88.0,20.0,9.8,120.0,5.774,1.11,461.0,25.0,13.9,0.21819474058280028,0.23979057591623038,0.2542372881355932,0.01225,0.10798781916139612,0.3483709273182958,19.68052251857193,Medium,0.17890075224460078,0.72,0.8125,0.5898935548017312,0.488262910798122,55.79114435688908,Medium,Moderate Priority,5
Philippines,2015,337.24,87.5,89.1,18.71,7.56,117.6,5.77,1.11,550.66,22.8,14.14,0.20291400142146412,0.21675392670157068,0.24915254237288134,0.00945,0.1289903958772546,0.35438596491228075,19.36078052142419,Medium,0.20458626546954622,0.75,0.8296874999999999,0.5894256638203298,0.488262910798122,57.23924680175996,Medium,Moderate Priority,5
Philippines,2016,373.23,88.78,90.03,17.61,5.66,115.56,5.77,1.11,626.87,20.93,14.34,0.18988391376451078,0.19717277486910995,0.24483050847457627,0.0070750000000000006,0.14684235183883815,0.35939849624060155,19.086717419793946,Medium,0.22641955835962144,0.7756000000000001,0.84421875,0.5894256638203298,0.488262910798122,58.47853765956146,High,Controlled Risk,7
Philippines,2017,403.82,89.86,90.83,16.68,4.04,113.83,5.77,1.11,691.65,19.34,14.52,0.1788675669272684,0.18052356020942412,0.24116525423728813,0.00505,0.16201686577652846,0.36390977443609024,18.858883693109988,Medium,0.24497694734287792,0.7972000000000001,0.85671875,0.5894256638203298,0.488262910798122,59.5316854392266,High,Controlled Risk,7
Philippines,2018,429.82,90.78,91.51,15.89,2.66,112.35,5.77,1.11,746.71,17.99,14.66,0.1695095948827292,0.1663874345549738,0.23802966101694914,0.0033250000000000003,0.17491449988287655,0.3674185463659148,18.65974561172406,Medium,0.2607498180053385,0.8156000000000001,0.8673437500000001,0.5894256638203298,0.488262910798122,60.42764285247581,High,Controlled Risk,7
Philippines,2019,451.92,91.56,92.08,15.22,1.49,111.1,5.77,1.11,793.52,16.84,14.79,0.16157308694622127,0.1543455497382199,0.23538135593220338,0.0018625,0.1858795970953385,0.3706766917293233,18.495313024021776,Medium,0.27415675806843,0.8312000000000002,0.87625,0.5894256638203298,0.488262910798122,61.185906653737646,High,Controlled Risk,7
Philippines,2020,470.71,92.23,92.57,14.64,0.5,110.03,5.77,1.11,833.3,15.86,14.9,0.1547026770907368,0.14408376963350783,0.23311440677966103,0.000625,0.1951979386273132,0.3734335839598998,18.352622934851972,Medium,0.28555569036641587,0.8446,0.8839062499999999,0.5894256638203298,0.488262910798122,61.835010299697345,High,Controlled Risk,7
Philippines,2021,486.68,92.79,92.98,14.16,0.0,109.13,5.77,1.11,867.11,15.04,14.99,0.14901682065861172,0.13549738219895285,0.23120762711864407,0.0,0.203117826188803,0.37568922305764413,18.242147987044262,Medium,0.29524387284639647,0.8558000000000001,0.8903125000000001,0.5894256638203298,0.488262910798122,62.38089894929697,High,Controlled Risk,7
Philippines,2022,500.25,93.28,93.34,13.74,0.0,108.36,5.77,1.11,895.86,14.33,15.06,0.14404169628050226,0.1280628272251309,0.22957627118644067,0.0,0.20985242445537597,0.3774436090225564,18.14961380283344,Medium,0.30347609803445763,0.8656000000000001,0.8959375,0.5894256638203298,0.488262910798122,62.854043453058196,High,Controlled Risk,7
